siglas,nombre,correoDeContacto
ING,Departamento de Ingeniería,ingen@pucp.edu.pe
ECON,Facultad de Economía,economia@pucp.edu.pe
LETR,Facultad de Letras y Ciencias Humanas,letras@pucp.edu.pe
PSIC,Facultad de Psicología,psicologia@pucp.edu.pe
ADM,Facultad de Administración,administracion@pucp.edu.pe
COM,Departamento de Comunicaciones,comunicaciones@pucp.edu.pe
ARQ,Facultad de Arquitectura,arquitectura@pucp.edu.pe
DERE,Facultad de Derecho,derecho@pucp.edu.pe
EDUC,Facultad de Educación,educacion@pucp.edu.pe
FIS,Facultad de Física,fisica@pucp.edu.pe
